Sentence,Keywords
what is the capital of the moldova,capital moldova
what is the capital of the albania,capital albania
what is the capital of the lithuania,capital lithuania
what is the capital of the slovenia,capital slovenia
what is the capital of the latvia,capital latvia
what is the capital of the estonia,capital estonia
what is the capital of the montenegro,capital montenegro
what is the capital of the luxembourg,capital luxembourg
what is the capital of the andorra,capital andorra
what is the capital of the malta,capital malta
what is the capital of the iceland,capital iceland
what is the capital of the liechtenstein,capital liechtenstein
what is the capital of the monaco,capital monaco
what is the capital of the san marino,capital san marino
what is the capital of the vatican city,capital vatican city
what is the capital of the united arab emirates,capital united arab emirates
what is the capital of the afghanistan,capital afghanistan
what is the capital of the armenia,capital armenia
what is the capital of the azerbaijan,capital azerbaijan
what is the capital of the bahrain,capital bahrain
what is the capital of the bangladesh,capital bangladesh
what is the capital of the bhutan,capital bhutan
what is the capital of the brunei,capital brunei
what is the capital of the cambodia,capital cambodia
what is the capital of the china,capital china
what is the capital of the cyprus,capital cyprus
what is the capital of the georgia,capital georgia
what is the capital of the india,capital india
what is the capital of the indonesia,capital indonesia
what is the capital of the iran,capital iran
what is the capital of the iraq,capital iraq
where is france,where is france
where is china,where is china
where is germany,where is germany
where is spain,where is spain
where is italy,where is italy
where is russia,where is russia
where is the united states,where is united states
where is the united kingdom,where is united kingdom
where is the bulgaria,where is bulgaria
where is the netherlands,where is netherlands
where is the belgium,where is belgium
where is the sweden,where is sweden
where is the norway,where is norway
where is the denmark,where is denmark
where is the finland,where is finland
where is the poland,where is poland
where is the ukraine,where is ukraine
where is the austria,where is austria
where is the switzerland,where is switzerland
where is the portugal,where is portugal
where is the greece,where is greece
where is the czech republic,where is czech republic
where is the hungary,where is hungary
where is the romania,where is romania
where is the belarus,where is belarus
where is the serbia,where is serbia
where is the slovakia,where is slovakia
where is the ireland,where is ireland
where is the croatia,where is croatia
where is the bosnia and herzegovina,where is bosnia and herzegovina
where is the moldova,where is moldova
where is the albania,where is albania
where is the lithuania,where is lithuania
where is the slovenia,where is slovenia
where is the latvia,where is latvia
where is the estonia,where is estonia
where is the montenegro,where is montenegro
where is the luxembourg,where is luxembourg
where is the andorra,where is andorra
where is the malta,where is malta
where is the iceland,where is iceland
where is the liechtenstein,where is liechtenstein
where is the monaco,where is monaco
where is the san marino,where is san marino
where is the vatican city,where is vatican city
where is the united arab emirates,where is united arab emirates
where is the afghanistan,where is afghanistan
where is the armenia,where is armenia
where is the azerbaijan,where is azerbaijan
where is the bahrain,where is bahrain
where is the bangladesh,where is bangladesh
where is the bhutan,where is bhutan
where is the brunei,where is brunei
where is the cambodia,where is cambodia
where is the china,where is china
where is the cyprus,where is cyprus
where is the georgia,where is georgia
where is the india,where is india
where is the indonesia,where is indonesia
where is the iran,where is iran
where is the iraq,where is iraq
how old is the eiffel tower,how old eiffel tower
how old is the great wall of china,how old great wall of china
how old is the leaning tower of pisa,how old leaning tower of pisa
how old is the statue of liberty,how old statue of liberty
how old is the taj mahal,how old taj mahal
how old is the colosseum,how old colosseum
how old is the big ben,how old big ben
how old is the sydney opera house,how old sydney opera house
how old is the golden gate bridge,how old golden gate bridge
how old is the empire state building,how old empire state building
how old is the burj khalifa,how old burj khalifa
where is the eiffel tower,where is eiffel tower
open my calendar please,show calendar
set a 10 minute timer,10 second timer
set a 30 second timer,30 second timer
15 second timer,15 second timer
set a 1 minute timer,1 minute timer
set a 5 minute timer,5 minute timer
set a 10 minute timer,10 minute timer
set a 15 minute timer,15 minute timer
set a 30 minute timer,30 minute timer
set a 1 hour timer,1 hour timer
set a 2 hour timer,2 hour timer
set a 37 minute timer,37 minute timer
set a 45 minute timer,45 minute timer
4 hour 37 minute timer,4 hour 37 minute timer
set a 1 hour 37 minute timer,1 hour 37 minute timer
set a 2 hour 37 minute timer,2 hour 37 minute timer
set a 3 hour 37 minute timer,3 hour 37 minute timer
set a 13 second timer,13 second timer
Open my calendar,show calendar
Add the event meeting with katie to my calendar,calendar meeting with katie
create a calendar event for sunday the 2nd of July,calendar 2nd July
create a calendar event for sunday the 2nd of July at 7pm for a meeting,calendar 2nd July 7pm meeting
